epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,425.556,1.25731,0.75317,0.98564,0.90147,0.73191,0.80892,0.50588,1.35542,0.84227,1.0833,0.000540037,0.000540037,0.000540037
43,434.011,1.28751,0.77235,0.9971,0.87055,0.75635,0.78653,0.45649,1.36802,0.84754,1.05862,0.000531038,0.000531038,0.000531038
44,443.821,1.25331,0.7406,0.9901,0.90169,0.73684,0.78351,0.48529,1.34471,0.8372,1.05925,0.000522039,0.000522039,0.000522039
45,454.938,1.26199,0.74733,0.98249,0.7606,0.7374,0.78845,0.48856,1.34686,0.82745,1.06639,0.00051304,0.00051304,0.00051304
46,467.911,1.26618,0.74713,0.98941,0.84235,0.74357,0.89635,0.53165,1.37879,0.82934,1.0814,0.00050404,0.00050404,0.00050404
47,478.964,1.23804,0.7381,0.98459,0.84288,0.77097,0.83539,0.48668,1.33771,0.79653,1.05649,0.000495041,0.000495041,0.000495041
48,491.122,1.26584,0.73955,0.9868,0.87615,0.74917,0.79494,0.4547,1.37027,0.78284,1.07355,0.000486042,0.000486042,0.000486042
49,500.621,1.23523,0.73119,0.97361,0.853,0.75045,0.78771,0.45706,1.36463,0.81495,1.07253,0.000477043,0.000477043,0.000477043
50,510.485,1.23786,0.71748,0.98065,0.89096,0.75574,0.79508,0.45419,1.35405,0.80862,1.06376,0.000468044,0.000468044,0.000468044
51,519.281,1.23442,0.72282,0.97908,0.89961,0.74197,0.79215,0.47026,1.31451,0.79049,1.04541,0.000459045,0.000459045,0.000459045
52,528.3,1.25984,0.70284,0.98755,0.88286,0.76444,0.79432,0.48983,1.3432,0.7967,1.04893,0.000450046,0.000450046,0.000450046
53,539.165,1.18846,0.68449,0.97458,0.75488,0.75243,0.79008,0.48076,1.36706,0.78985,1.05932,0.000441047,0.000441047,0.000441047
54,551.879,1.19917,0.67765,0.96735,0.87657,0.74988,0.81164,0.51531,1.34745,0.76638,1.07264,0.000432048,0.000432048,0.000432048
55,564.922,1.19348,0.68121,0.96856,0.89531,0.7514,0.79941,0.49864,1.29294,0.78237,1.0375,0.000423049,0.000423049,0.000423049
56,576.243,1.23097,0.69433,0.97321,0.89811,0.75585,0.79557,0.49545,1.32202,0.7937,1.04543,0.000414049,0.000414049,0.000414049
57,587.009,1.19941,0.67506,0.96635,0.88727,0.75385,0.79842,0.49191,1.32817,0.74648,1.06041,0.00040505,0.00040505,0.00040505
58,596.82,1.20305,0.69188,0.9678,0.86881,0.79121,0.79895,0.49566,1.35366,0.78304,1.05962,0.000396051,0.000396051,0.000396051
59,607.498,1.17471,0.67546,0.96822,0.89203,0.7701,0.8027,0.49352,1.34163,0.75837,1.07077,0.000387052,0.000387052,0.000387052
60,617.51,1.19917,0.68054,0.96658,0.87912,0.73382,0.81203,0.51302,1.31341,0.76337,1.04755,0.000378053,0.000378053,0.000378053
61,628.979,1.18502,0.67082,0.95823,0.88195,0.76381,0.79691,0.48465,1.3407,0.77571,1.03984,0.000369054,0.000369054,0.000369054
62,640.035,1.17866,0.65557,0.95998,0.88751,0.77077,0.79924,0.49929,1.33335,0.76195,1.05115,0.000360055,0.000360055,0.000360055
63,649.842,1.15689,0.65061,0.95791,0.89324,0.72022,0.79315,0.4814,1.32637,0.78552,1.05652,0.000351056,0.000351056,0.000351056
64,662.658,1.16387,0.64809,0.9514,0.91232,0.73566,0.79634,0.47091,1.31659,0.74946,1.05164,0.000342057,0.000342057,0.000342057
65,672.962,1.16633,0.65138,0.95436,0.85657,0.75864,0.79139,0.4857,1.36144,0.78659,1.08446,0.000333058,0.000333058,0.000333058
66,682.64,1.14792,0.63538,0.95725,0.90075,0.74294,0.79573,0.50189,1.34678,0.78593,1.0677,0.000324058,0.000324058,0.000324058
